district,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Sepetlipınar Mh.,1,0.2497441269307051,0.2497441269307051,6243.603173267627,6243.603173267627,25000.0,31243.603173267627
Seymen Mah.,10,0.19341727726100966,0.14122294790196321,7732.940910929734,5723.752436066858,44081.542,42277.725646832565
Atakent Mah.,5,0.1700128849924212,0.2337688729352653,8648.056704443297,8705.87542915393,47155.418,42916.14150546505
Bahçecik Kılıçaslan Mh.,11,0.16892393265492772,0.12172296249799698,6484.89995863403,4419.940918286768,42051.83090909091,42412.913494882225
Bahçecik Şehitekrem Mh.,2,0.16096756123513067,0.16096756123513067,5891.212907483139,5891.212907483139,37152.78,37578.736571050096
Karşıyaka Mh.,4,0.15727667043916632,0.14834338871727287,10726.304741853464,9588.893871291366,67031.82,56305.51525814654
Sahil Mah.,3,0.1562833788699016,0.17782836354413062,5279.432789493523,5421.595582060745,35550.026666666665,39433.906404376816
Döngel Mh.,39,0.13059280147823998,0.11694709963674799,5456.188363329456,4066.0167581893475,40185.3958974359,39040.35997156497
Kullar Yakacık Mh.,24,0.12499118202701238,0.11825008878021906,5031.162624186695,4723.54570697961,39630.2175,39355.08948713108
Körfez Mh.,11,0.12234065138697309,0.08072318774258018,4407.340956680885,2392.8661530070203,35762.35999999999,35384.65493211698
Kullar Tepecik Mh.,11,0.11769464810850483,0.07978782451279191,4516.123645205204,3245.9139150209885,38974.27636363636,37775.36843295779
Barbaros Mah.,108,0.11403584283157889,0.0930100408958402,4783.795668011978,4006.7831946828046,41193.614074074074,40611.03203901741
Aydınkent Mh.,21,0.10674071692029467,0.0912917614164932,3996.4232857872053,3467.6451226136196,37026.04285714286,37725.37066199722
Paşadağ Mh.,113,0.10645706614739253,0.09243390642578128,4396.3494441947,3315.7105233909388,41525.32654867257,41202.334157692494
Serdar Mah.,38,0.10436211853585625,0.07916131393115075,4043.4141541421886,2771.495358356631,37623.35236842106,36977.124465021545
Fatih Mah.,194,0.10342374031485133,0.08783064837312302,4213.947177191825,3556.934280991518,41636.47659793814,41607.03932462311
Mahmutpaşa Mh.,26,0.10202430221041547,0.09760108480998286,4407.866275460728,4228.450884746388,43813.14692307693,44173.777441357546
Yeşilyurt Mh.,201,0.09733371214720916,0.07548103464702213,4203.593805133588,3234.901269212278,41696.01975124378,41142.17083521474
Kullar Merkez Mh.,7,0.09362948516316127,0.07398288860926323,3308.313059067254,2903.828377913582,38300.97571428572,38702.41001073876
Yaylacık Mh.,35,0.08413602893962435,0.06741273293738845,3487.2881774682755,3004.567721840256,42852.42228571429,42498.65192580905
Havuzlubahçe Mh.,10,0.08259638664761766,0.05481545442145451,2619.512857105564,1687.5886161907874,31740.775,31513.537732732548
Altınkent Mh.,24,0.07521932791168147,0.0623923068333712,2710.547220596636,2212.2712892923773,35407.8325,35233.32370313358
Yeniköy Merkez Mh.,10,0.07417431357383021,0.07129977420925333,2873.5384501690846,2665.1378508398193,38734.704,38566.8995872519
Damlar Mah.,5,0.058850418517811,0.044358484764599665,2218.0856967539075,1757.056881334851,39906.932,40053.736114286316
Vezirçiftliği Mh.,1,0.054082685964715604,0.054082685964715604,1937.9627334600227,1937.9627334600227,35833.33,37771.292733460024
Yeşilkent Mh.,5,0.040432501206200476,0.02449136378329553,1149.8541874950818,713.3109701884823,29533.484000000004,29844.778976918664
