district,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Sepetlipınar Mh.,1,0.309120976584976,0.309120976584976,7728.0244146244,7728.0244146244,25000.0,32728.0244146244
Seymen Mah.,10,0.1949792953505056,0.13739737682420936,7905.457020234016,5532.510399333802,44081.542,41389.650330470686
Bahçecik Kılıçaslan Mh.,11,0.175132168211947,0.11077987431942377,6789.474061847891,5163.468774606976,42051.83090909091,41543.614223432036
Sahil Mah.,3,0.17108282906965147,0.1757633274299548,5822.695620130002,5358.637174018975,35550.026666666665,39636.847352856465
Bahçecik Şehitekrem Mh.,2,0.16510284412673326,0.16510284412673326,6038.440071108165,6038.440071108165,37152.78,37634.65280953419
Karşıyaka Mh.,4,0.15979209253678678,0.1502396315545637,10892.219295554149,9707.638329636819,67031.82,56139.60070444585
Atakent Mah.,5,0.15298643187857888,0.1546723721011675,7915.242920012941,5760.212584920977,47155.418,42695.72135725561
Körfez Mh.,11,0.13961330594904556,0.09636778532740159,5174.553059797185,4048.618531197477,35762.35999999999,34633.58989668165
Döngel Mh.,39,0.1384633711411054,0.12122790591864395,5795.102562411015,4585.01858622066,40185.3958974359,39049.50811073351
Kullar Yakacık Mh.,24,0.12315206035557365,0.11832270606226515,4968.447071022882,4927.621128755705,39630.2175,39192.18707736514
Kullar Tepecik Mh.,11,0.1222504712589342,0.07084885731159009,4702.298005248729,2882.260460355792,38974.27636363636,37502.06415360682
Barbaros Mah.,108,0.11416961462261635,0.09092358868892092,4779.466371046489,3856.0442579232986,41193.614074074074,40638.777136192526
Paşadağ Mh.,113,0.11251352442907102,0.08912301470108111,4656.203735115837,3390.5742065480554,41525.32654867257,41075.03847205601
Fatih Mah.,194,0.10754748234621549,0.0884783589874334,4420.784303261027,3603.84406156747,41636.47659793814,41536.0123084384
Serdar Mah.,38,0.10681504263206358,0.08242033259890136,4134.180056425436,3344.009131572064,37623.35236842106,36991.80757683849
Aydınkent Mh.,21,0.1062311530143786,0.07454136946947695,3954.6312327318883,3205.278887187509,37026.04285714286,38105.15736439581
Mahmutpaşa Mh.,26,0.10603524063868827,0.11247482059905145,4549.242909898925,4749.172552912525,43813.14692307693,44238.22236903505
Yeşilyurt Mh.,201,0.09939695748261451,0.07548129426461897,4292.059628213348,3249.5811564354735,41696.01975124378,41114.7026458201
Havuzlubahçe Mh.,10,0.08841350180747651,0.06983054929162712,2801.7674892456926,2138.3676762033538,31740.775,31660.82118244017
Yaylacık Mh.,35,0.08741428888224514,0.06230478400935022,3579.356501462249,3005.8977880906386,42852.42228571429,42750.206156850945
Kullar Merkez Mh.,7,0.08683180115490927,0.0645634099210056,3025.055827971027,2534.1138393994697,38300.97571428572,38742.04597694458
Yeniköy Merkez Mh.,10,0.0765714012890217,0.07056865892530279,2967.1992805244,2640.416380701179,38734.704,38623.41167750763
Altınkent Mh.,24,0.07447999602519492,0.06263856181393236,2755.6651798106577,2212.1637648839114,35407.8325,34965.73448280764
Damlar Mah.,5,0.06435648855730755,0.05633389794483145,2432.823294130781,2231.4076678149722,39906.932,40027.956912545924
Yeşilkent Mh.,5,0.04493166028068477,0.03295100442933792,1289.3645258404517,1029.71888841681,29533.484000000004,29632.579107149177
Vezirçiftliği Mh.,1,0.044747658317940676,0.044747658317940676,1603.4576072340133,1603.4576072340133,35833.33,37436.787607234015
