district,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Seymen Mah.,10,0.19449290568650532,0.13930251190390375,7777.392677902186,5634.655934368442,44081.542,41616.861600712014
Sahil Mah.,3,0.18604247735677246,0.20497033727057304,6318.922992972035,6249.094648637776,35550.026666666665,39910.24262451235
Karşıyaka Mh.,4,0.17971702218740487,0.18160423690389438,12333.051180894807,11727.89746356096,67031.82,54698.76881910519
Sepetlipınar Mh.,1,0.1672042312515853,0.1672042312515853,4180.105781289632,4180.105781289632,25000.0,29180.105781289632
Bahçecik Kılıçaslan Mh.,11,0.16663401601853836,0.1129005748124588,6343.216070113717,5262.314985106423,42051.83090909091,41721.32890710684
Atakent Mah.,5,0.16404479634396132,0.12810723121869158,8420.436005915713,4770.890078563156,47155.418,42160.05150069591
Kullar Yakacık Mh.,24,0.14330331077967906,0.14514647732073904,5791.168619143674,5636.982664581552,39630.2175,38910.58616739575
Körfez Mh.,11,0.1415185509806765,0.12081434732720876,5303.096040561835,3807.3946107213196,35762.35999999999,34512.84179256035
Bahçecik Şehitekrem Mh.,2,0.13783021568797799,0.13783021568797799,5034.742038637549,5034.742038637549,37152.78,37623.12045080782
Döngel Mh.,39,0.1339137759881316,0.1354685968761481,5607.867436448392,4107.656303405434,40185.3958974359,39296.56734141514
Kullar Tepecik Mh.,11,0.1167519945799656,0.07363454790666683,4449.152175994385,2995.587423720397,38974.27636363636,37811.87411601014
Barbaros Mah.,108,0.1167022274140962,0.09523681377873103,4885.652033778863,3969.399176831779,41193.614074074074,40726.11470563187
Paşadağ Mh.,113,0.11363671837051166,0.09109327556429696,4708.075342790482,3768.8431763112094,41525.32654867257,41044.00898807963
Fatih Mah.,194,0.1129334926674869,0.09802038455346027,4633.658351297015,4007.3929495806806,41636.47659793814,41629.31727841192
Yeşilyurt Mh.,201,0.10970189880206233,0.09192457684559317,4724.411279990193,3536.8531461566963,41696.01975124378,41192.356454123896
Serdar Mah.,38,0.10579904885722406,0.09213525555091921,4034.6557275211803,3395.846931647855,37623.35236842106,36980.07553923787
Aydınkent Mh.,21,0.10456091756057097,0.09633705985040782,3954.4288377029684,3389.637754877971,37026.04285714286,37948.222353926336
Mahmutpaşa Mh.,26,0.09968136195998364,0.09961022381478475,4216.07116733346,5031.397340887848,43813.14692307693,44429.873511689046
Altınkent Mh.,24,0.09750721755670894,0.0857613940941204,3567.536147828276,2866.1911202865285,35407.8325,34399.40903468912
Yaylacık Mh.,35,0.09633216237267889,0.07200591300983404,4077.008223289961,3068.3142258350126,42852.42228571429,42564.45414524747
Kullar Merkez Mh.,7,0.08857535478972918,0.057823861864423336,2997.211134542839,2207.2741257800953,38300.97571428572,38944.87788987466
Havuzlubahçe Mh.,10,0.07847076551079721,0.07181399714378466,2546.4022151286276,2134.349720451617,31740.775,31094.7987395781
Yeniköy Merkez Mh.,10,0.06970608194112617,0.05754214242065657,2753.3171032626133,2218.8213951644793,38734.704,38671.61504700508
Damlar Mah.,5,0.06769932944308252,0.044802409525864124,2595.440708633435,1929.9498109528868,39906.932,40250.503268691384
Yeşilkent Mh.,5,0.047883420666424245,0.05013504961396593,1386.352763488653,1549.6287606725382,29533.484000000004,29503.698128100117
Vezirçiftliği Mh.,1,0.028280739614799138,0.028280739614799138,1013.3930752611705,1013.3930752611705,35833.33,36846.72307526117
