district,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Sepetlipınar Mh.,1,0.305854027128718,0.305854027128718,7646.35067821795,7646.35067821795,25000.0,32646.35067821795
Karşıyaka Mh.,4,0.21230084223846427,0.19413449078020012,14461.784886809372,12543.1064056869,67031.82,52570.03511319063
Seymen Mah.,10,0.20746282925017537,0.1505912229930646,8396.01997213635,6320.599258342339,44081.542,41138.98657727908
Atakent Mah.,5,0.17554548140629805,0.16967186247180194,9108.351502378122,6318.814305620115,47155.418,41973.44292418175
Bahçecik Kılıçaslan Mh.,11,0.1676525389049157,0.0781115939514793,6381.609114522696,4075.3527669214673,42051.83090909091,41695.696555995426
Körfez Mh.,11,0.16291185331160019,0.16924938465443856,5950.22454187303,5047.1390908335015,35762.35999999999,35001.091288185555
Sahil Mah.,3,0.16077094271224754,0.17508629472966783,5426.892286254475,5337.995936459167,35550.026666666665,39717.81613311666
Bahçecik Şehitekrem Mh.,2,0.14661809934731085,0.14661809934731085,5370.108607347498,5370.108607347498,37152.78,37496.34667473614
Döngel Mh.,39,0.14015584798893957,0.13259114575548608,5898.264952202399,4955.6562607196465,40185.3958974359,38885.73171186598
Kullar Yakacık Mh.,24,0.1299909128097935,0.14877511732200266,5221.712155589662,4975.345913140802,39630.2175,38931.87433479496
Paşadağ Mh.,113,0.11467289783884535,0.09164119611645175,4784.170882229944,3483.2320094039314,41525.32654867257,40793.87232350821
Kullar Tepecik Mh.,11,0.11431409265598536,0.06755978917927917,4435.433034737286,2748.4551826293828,38974.27636363636,37313.82806303616
Aydınkent Mh.,21,0.11419290918498624,0.12300262306393826,4226.901842881249,3851.9761604256746,37026.04285714286,38291.30212215806
Barbaros Mah.,108,0.11338868819450362,0.09161205154980315,4787.027095125092,3558.1448288686224,41193.614074074074,40433.11969466711
Fatih Mah.,194,0.11197361924978831,0.0938088590578185,4574.871449775427,3793.12847664103,41636.47659793814,41579.742955896276
Serdar Mah.,38,0.11057088666369394,0.09406744922678974,4324.903980662474,3540.3202433601364,37623.35236842106,36766.3615685105
Mahmutpaşa Mh.,26,0.10464833894210208,0.10705972907659989,4489.880497361463,4654.032761801405,43813.14692307693,44001.73903934674
Yeşilyurt Mh.,201,0.10410914847387888,0.08518816054746442,4501.595407120306,3516.2864226629026,41696.01975124378,41028.99356737364
Yaylacık Mh.,35,0.09962428265769932,0.07688846134492973,4129.570415206264,3171.649030478351,42852.42228571429,42469.91371922407
Havuzlubahçe Mh.,10,0.08237352259855646,0.05645366944127807,2617.825036281597,1845.0534964892795,31740.775,31814.56099950144
Altınkent Mh.,24,0.07944711294177927,0.07208936864485421,2943.53275864639,2606.761310113492,35407.8325,35005.85306736265
Kullar Merkez Mh.,7,0.07888937255567115,0.05155575779539199,2731.0013787294156,2132.533805375788,38300.97571428572,39101.98780526688
Yeniköy Merkez Mh.,10,0.06991808434696593,0.05774206203080751,2735.6093398791077,2285.125559787819,38734.704,38682.48192356199
Damlar Mah.,5,0.06930720449495763,0.07932045811423272,2659.666764524991,3141.914280883422,39906.932,40855.05005590936
Yeşilkent Mh.,5,0.06369319161145433,0.06104113337948546,1855.6728121626504,1886.7258853285202,29533.484000000004,29663.67578119812
Vezirçiftliği Mh.,1,0.03183561709439253,0.03183561709439253,1140.7761730970087,1140.7761730970087,35833.33,36974.10617309701
